id,nome,safra,uva,tempodeguarda,harmonizacao,vinicola_id
82,DV CATENA CABERNET / CABERNET 2019,2019,Cabernet / Cabernet,10,Carnes vermelhas grelhadas,22
83,DV CATENA CABERNET / MALBEC 2021,2021,Cabernet / Malbec,10,Churrasco argentino,22
84,DV CATENA CABERNET / SYRAH 2020,2020,Cabernet / Syrah,10,Carnes vermelhas grelhadas,22
85,DV CATENA CHARDONNAY/CHARDONNAY 2020,2020,Chardonnay/Chardonnay,8,Frutos do mar,22
86,DV CATENA DOMINGO CABERNET SAUVIGNON 2016,2016,Cabernet Sauvignon,10,Carnes vermelhas grelhadas,22
87,DV CATENA LA PIRAMIDE CABERNET SAUVIGNON 2017,2017,Cabernet Sauvignon,10,Carnes vermelhas grelhadas,22
88,DV CATENA NICASIA CABERNET SAUVIGNON 2016,2016,Cabernet Sauvignon,12,Carnes de cordeiro,22
89,DV CATENA NICASIA CABERNET SAUVIGNON 2017,2017,Cabernet Sauvignon,12,Carnes de cordeiro,22
90,DV CATENA NICASIA MALBEC 2019,2019,Malbec,12,Carnes de cordeiro,22
91,EL ENEMIGO BONARDA 2018,2018,Bonarda,10,Carnes vermelhas grelhadas,23
92,EL ENEMIGO CABERNET FRANC 2019,2019,Cabernet Franc,12,Carnes de cordeiro,23
93,EL ENEMIGO CHARDONNAY 2020,2020,Chardonnay,8,Frutos do mar,23
94,EL ENEMIGO MALBEC 2019,2019,Malbec,10,Churrasco argentino,23
95,EL PORVENIR LABORUM DE PARCELA MALBEC 2019,2019,Malbec,10,Churrasco argentino,24
96,EL PORVENIR LABORUM DE PARCELA PETIT VERDOT 2019,2019,Petit Verdot,10,Carnes vermelhas grelhadas,24
97,EL PORVENIR LABORUM DE PARCELA TANNAT 2019,2019,Tannat,12,Carnes de cordeiro,24
98,EL PORVERNIR ALTOS LOS CUISES MALBEC 2019,2019,Malbec,10,Churrasco argentino,24
99,ENZO BIANCHINI GRAN MALBEC 2017,2017,Malbec,10,Churrasco argentino,25
100,FLECHA DE LOS ANDES GRAN MALBEC 2017,2017,Malbec,10,Churrasco argentino,26
101,GRAN ENEMIGO AGRELO 2017,2017,Agrelo,10,Carnes vermelhas grelhadas,27
102,GRAN ENEMIGO CHACAYES 2017,2017,Chacayes,12,Carnes de caça,27
103,GRAN ENEMIGO CORTE 2017,2017,Corte,15,Carnes grelhadas,27
104,GRAN ENEMIGO EL CEPILLO 2017,2017,El Cepillo,12,Carnes vermelhas assadas,27
105,GRAN ENEMIGO GUATALLARY 2016,2016,Guatallary,15,Carnes de cordeiro,27
106,GRAN ENEMIGO GUATALLARY 2017,2017,Guatallary,15,Carnes de cordeiro,27
107,GRAN ENEMIGO GUATALLARY 2018,2018,Guatallary,15,Carnes de cordeiro,27
108,HENRIQUE FOSTER FIRMADO MALBEC 2014,2014,Malbec,12,Churrasco argentino,28
109,HERMANDAD BLEND 2018 (91PONTOS),2018,Blend,10,Churrasco argentino,29
110,HERMANDAD BRESSANO VALLE DE UCO MALBEC 2018,2018,Malbec,12,Carnes de cordeiro,29
111,HERMANDAD MALBEC 2020 (92PONTOS),2020,Malbec,10,Churrasco argentino,29
112,HERMANDAD WINEMAKER SERIES PETIT VERDOT 2018,2018,Petit Verdot,12,Carnes vermelhas assadas,29
113,HERMANDAD WINEMAKER SERIES PINOT 2019,2019,Pinot,8,Carnes brancas grelhadas,29
114,INGENIO MALBEC LIBER WINES 2019,2019,Malbec,8,Churrasco argentino,30
115,JEAN RIVER DON TRIBUTO MALBEC/CAB SAUVIG/MERLOT 2018,2018,Malbec/Cab Sauv/Merlot,10,Carnes vermelhas grelhadas,31
116,KAIKEN ESTATE MALBEC 2020,2020,Malbec,8,Churrasco argentino,32
117,KAIKEN ESTATE ROSE 2022,2022,Rose,2,Saladas e frutos do mar,32
118,KAIKEN MAI MALBEC 2017,2017,Malbec,12,Carnes de cordeiro,32
119,KAIKEN ULTRA CHARDONNAY 2018,2018,Chardonnay,4,Peixes e aves,32
120,KAIKEN ULTRA CHARDONNAY 2021,2021,Chardonnay,4,Peixes e aves,32
121,KAIKEN ULTRA MALBEC 2019,2019,Malbec,10,Churrasco argentino,32
122,KALOS CRU GRAN RESERVA MALBEC 2018,2018,Malbec,10,Churrasco argentino,33
123,LAGARDE GUARDA BLEND BOTELLA NUMERADA 2018,2018,Blend,10,Churrasco argentino,34
124,LAGARDE PRIMEIRAS VINAS CABERNET SAUVIGNON 2014,2014,Cabernet Sauvignon,12,Carnes vermelhas assadas,34
125,LA LINDA CHARDONNAY 2022,2022,Chardonnay,4,Peixes e aves,35
126,LA LINDA MALBEC 2022,2022,Malbec,8,Churrasco argentino,35
127,LA POSTA BONARDA 2021,2021,Bonarda,6,Massas com molho vermelho,36
128,LA POSTA FAZZIO MALBEC 2021,2021,Malbec,8,Churrasco argentino,36
129,LA POSTA GLORIETA PINOT NOIR 2018,2018,Pinot Noir,8,Carnes brancas grelhadas,36
130,LA POSTA PAULUCCI MALBEC 2019,2019,Malbec,8,Churrasco argentino,36
131,LA POSTA PIZZELLA MALBEC 2019,2019,Malbec,8,Churrasco argentino,36
132,LA POSTA ROSE MALBEC 2021,2021,Malbec,2,Saladas e frutos do mar,36
133,LAS PERDICES ALA COLORADA ANCELLOTA 2018,2018,Ancellota,10,Churrasco argentino,37
134,LAS PERDICES ALA COLORADA CABERNET FRANC 2018,2018,Cabernet Franc,12,Carnes vermelhas assadas,37
135,LAS PERDICES ALA COLORADA PETIT VERDOT 2018,2018,Petit Verdot,12,Carnes vermelhas assadas,37
136,LAS PERDICES ALA COLORADA TANNAT 2018,2018,Tannat,12,Carnes vermelhas assadas,37
137,LOS INTOCABLES CABERNET SAUVIGNON 2021,2021,Cabernet Sauvignon,10,Churrasco argentino,38
138,LOS INTOCABLES MALBEC 2021,2021,Malbec,10,Churrasco argentino,38
139,LOS PADRILLOS MALBEC 2020,2020,Malbec,8,Churrasco argentino,39
140,LTU MALBEC 2018,2018,Malbec,10,Churrasco argentino,40
141,LUCA CHARDONAY 2020,2020,Chardonnay,4,Peixes e aves,41
142,LUCA MALBEC 2020,2020,Malbec,10,Churrasco argentino,41
143,LUCA NICO BY LUCA MALBEC 2018,2018,Malbec,10,Churrasco argentino,41
144,LUCA PINOT NOIR 2020,2020,Pinot Noir,8,Carnes brancas grelhadas,41
145,LUCA SIRAH 2020,2020,Syrah,12,Carnes vermelhas assadas,41
146,LUIGI BOSCA CABERNET SAUVIGNON 2018,2018,Cabernet Sauvignon,12,Carnes vermelhas assadas,35
147,LUIGI BOSCA CHARDONNAY 2022,2022,Chardonnay,4,Peixes e aves,35
148,LUIGI BOSCA DE SANGRE MALBEC DOC 2020,2020,Malbec,12,Carnes vermelhas assadas,35
149,LUIGI BOSCA MALBEC 2021,2021,Malbec,10,Churrasco argentino,35
150,LUIGI BOSCA PINOT NOIR 2021,2021,Pinot Noir,8,Carnes brancas grelhadas,35
151,LUIGI BOSCA ROSE 2021,2021,Rose,2,Saladas e frutos do mar,35
152,MARCELO PELLERICI GRAN CUVEE BLEND 2014,2014,Gran Cuvee Blend,12,Carnes vermelhas assadas,42
153,MARCELO PELLERICI SELECTION BLEND OF TERROIR 2015,2015,Selection Blend of Terroir,12,Carnes vermelhas assadas,42
154,MARCELO PELLERICI SIGNATURE CABERNET SAUVIGNON 2018,2018,Cabernet Sauvignon,12,Carnes vermelhas assadas,42
155,MARCELO PELLERICI SIGNATURE MALBEC 2019,2019,Malbec,10,Churrasco argentino,42
156,MARCHIORI & BARREAUD CABERNET SAUVIGNON 2020,2020,Cabernet Sauvignon,12,Carnes vermelhas assadas,43
157,MARCHIORI & BARREAUD MALBEC 2018,2018,Malbec,10,Churrasco argentino,43
158,MARIA MAGDALENA CHARDONAY 2021,2021,Chardonnay,4,Peixes e aves,22
159,MARIFLOR SAUVIGNON BLANC 2019,2019,Sauvignon Blanc,4,Peixes e aves,44
160,MAURICIO LORCA FANTASIA MALBEC 2019,2019,Malbec,10,Churrasco argentino,45
161,MAURICIO LORCA GRAN POETICO MALBEC 2014,2014,Malbec,12,Carnes vermelhas assadas,45
162,MAURICIO LORCA INSPIRADO BLEND 2014,2014,Blend,12,Carnes vermelhas assadas,45
163,MAURICIO LORCA INSPIRADO CABERNET / CABERNET 2014,2014,Cabernet / Cabernet,12,Carnes vermelhas assadas,45
164,MAURICIO LORCA INSPIRADO CABERNET FRANC 2014,2014,Cabernet Franc,12,Carnes vermelhas assadas,45
165,MAURICIO LORCA INSPIRADO RED BLEND 2014,2014,Red Blend,12,Carnes vermelhas assadas,45
166,MENDEL CABERNET FRANC 2019,2019,Cabernet Franc,12,Carnes vermelhas assadas,46
167,MENDEL MALBEC 2018,2018,Malbec,10,Churrasco argentino,46
168,MONTES ALPHA CABERNET SAUVIGNON 2020,2020,Cabernet Sauvignon,12,Carnes vermelhas assadas,47
169,MONTES ALPHA CARMENERE 2019,2019,Carmenere,12,Carnes vermelhas assadas,47
170,MONTES ALPHA CHARDONAY 2020,2020,Chardonnay,4,Peixes e aves,47
171,MONTES ALPHA MALBEC 2018,2018,Malbec,10,Churrasco argentino,47
172,MONTES ALPHA MERLOT 2019,2019,Merlot,10,Carnes vermelhas grelhadas,47
173,MONTES ALPHA PINOT NOIR 2019,2019,Pinot Noir,8,Carnes brancas grelhadas,47
174,MONTES ALPHA SYRAH 2019,2019,Syrah,12,Carnes vermelhas assadas,47
175,MONTES ALPHA ZINFANDEL 2018,2018,Zinfandel,12,Carnes vermelhas assadas,47
176,MONTES ALPHA TAITA 2018,2018,Taita,8,Carnes vermelhas grelhadas,47
177,MONTEVIEJO PETIT FLEUR TORRONTES 2021,2021,Torrontes,3,"Saladas, frutos do mar",48
178,MOSQUITA MUERTA BLACK BLEND DE CABERNET 2018,2018,Blend de Cabernet,8,"Carnes vermelhas, queijos intensos",49
179,MOSQUITA MUERTA BLACK MALBEC 2020,2020,Malbec,5,Churrasco argentino,49
180,MOSQUITA MUERTA CORDEIRO PIEL DEL LOBO MALBEC 2022,2022,Malbec,6,"Carnes vermelhas grelhadas, cordeiro",49
181,MOSQUITA MUERTA PERRO CALLEJERO BLEND MALBEC 2019,2019,Blend Malbec,7,"Carnes vermelhas grelhadas, massas com molho vermelho",49
182,NICASIA RED BLEND MALBEC 2019,2019,Malbec,8,"Carnes vermelhas grelhadas, queijos duros",50
183,NOEMIA A LISA MALBEC 2021,2021,Malbec,5,Churrasco argentino,51
184,OBRA PRIMA RESERVA MALBEC 2017,2017,Malbec,7,"Carnes vermelhas grelhadas, queijos intensos",52
185,PASCUAL TOSO ALTA MALBEC 2017,2017,Malbec,7,"Carnes vermelhas grelhadas, queijos duros",53
186,PEQ PRODUCCIONES BARBERA 2020,2020,Barbera,5,"Carnes vermelhas grelhadas, massas com molho de tomate",54
187,PEQ PRODUCCIONES MALBEC,2020,Malbec,5,Churrasco argentino,54
188,PEQ PRODUCCIONES SYRAH,2020,Syrah,6,"Carnes vermelhas assadas, queijos curados",54
189,PEQ PRODUCIONES CABERNET SAUVIGNON,2016,Cabernet Sauvignon,8,"Carnes vermelhas grelhadas, queijos duros",54
190,PEQ PRODUCIONES PINOT NOIR,2020,Pinot Noir,5,"Frango, peixes de carne branca",54
191,PEQ PRODUCIONES SAVIGNON BLANC,2019,Sauvignon Blanc,3,"Saladas, frutos do mar",54
192,PIATTELLI ARLENE GRAN RESERVA BLEND CAFAYATE,2017,Blend Cafayate,7,"Carnes vermelhas grelhadas, queijos duros",55
193,POESIA 2006 CUVEE HELENE,2006,Cuvee Helene,10,"Carnes vermelhas grelhadas, queijos intensos",56
194,PORTILLO MALBEC,2021,Malbec,4,Churrasco argentino,57
195,PORTILLO MERLOT,2021,Merlot,4,"Carnes vermelhas grelhadas, queijos macios",57
196,PORTILLO PINOT NOIR,2021,Pinot Noir,3,"Frango, peixes de carne branca",57
197,PORTILLO TEMPRANILLO,2021,Tempranillo,4,"Carnes vermelhas grelhadas, queijos curados",57
198,PULENTA ESTATE CABERNET SAUVIGNON,2020,Cabernet Sauvignon,7,"Carnes vermelhas grelhadas, queijos duros",58
199,PULENTA ESTATE MALBEC (I),2020,Malbec,5,Churrasco argentino,58
200,PULENTA ESTATE MERLOT(II),2020,Merlot,6,"Carnes vermelhas assadas, queijos macios",58
201,PULENTA ESTATE PINOT,2021,Pinot,4,"Frango, peixes de carne branca",58
202,PULENTA ESTATE RED BLEND (V),2020,Red Blend,6,"Carnes vermelhas assadas, queijos intensos",58
203,PULENTA ESTATE ROSE (SIL VOUS PLAIT),2022,Rose,3,"Saladas, frutos do mar",58
204,PULENTA ESTATE SAUVIGNON BLANC,2020,Sauvignon Blanc,4,"Saladas, frutos do mar",58
205,PULENTA FINCA LA ZULEMA CHARDONAY,2022,Chardonnay,4,"Frango, peixes de carne branca",58
206,PULENTA FINCA LA ZULEMA MALBEC,2021,Malbec,5,Churrasco argentino,58
207,PULENTA FINCA LA ZULEMA SAUVIGNON BLANC,2020,Sauvignon Blanc,4,"Saladas, frutos do mar",58
208,PULENTA GRAN CABERNET FRANC (XI),2019,Cabernet Franc,8,"Carnes vermelhas grelhadas, queijos intensos",58
209,PULENTA GRAN CABERNET SAUVIGNON (IV),2019,Cabernet Sauvignon,9,"Carnes vermelhas assadas, queijos duros",58
210,PULENTA GRAN MERLOT,2020,Merlot,8,"Carnes vermelhas grelhadas, queijos macios",58
211,PULENTA GRAN PINOT,2020,Pinot,6,"Frango, peixes de carne branca",58
212,PULENTA LA FLOR MALBEC ROSE,2022,Malbec Rose,3,"Saladas, frutos do mar",58
213,PULENTA LA FLOR PULENTA CABERNET SAUVIGNON,2021,Cabernet Sauvignon,4,"Carnes vermelhas grelhadas, queijos duros",58
214,PULENTA LA FLOR PULENTA MALBEC,2021,Malbec,5,Churrasco argentino,58
215,PULENTA LA FLOR PULENTA SAUVIGNON BLANC,2022,Sauvignon Blanc,3,"Saladas, frutos do mar",58
216,RENACER CABERNET FRANC,2018,Cabernet Franc,7,"Carnes vermelhas grelhadas, queijos intensos",59
217,RENACER MALBEC,2019,Malbec,6,"Carnes vermelhas assadas, queijos duros",59
218,RENACER MILAMORE,2019,Milamore,8,"Carnes vermelhas grelhadas, queijos intensos",59
219,RICITIELI & FATHER MALBEC / CABERNET FRANC,2017,Malbec / Cabernet Franc,8,"Carnes vermelhas grelhadas, queijos intensos",60
220,RICITIELI REPUBLICA DEL MALBEC,2017,Malbec,6,"Carnes vermelhas assadas, queijos intensos",60
221,RUTINI APARTADO GRAN BLEND,2015,Blend,9,"Carnes vermelhas assadas, queijos duros",61
222,RUTINI APARTADO GRAN MALBEC,2017,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",61
223,RUTINI CABERNET FRANC,2021,Cabernet Franc,5,"Carnes vermelhas grelhadas, queijos intensos",61
224,RUTINI CABERNET SAUVIGNON / MALBEC,2018,Cabernet Sauvignon / Malbec,7,"Carnes vermelhas grelhadas, queijos duros",61
225,RUTINI CHARDONAY,2021,Chardonnay,4,"Frango, peixes de carne branca",61
226,RUTINI ENCUENTRO MALBEC,2020,Malbec,5,Churrasco argentino,61
227,RUTINI GUATALLARY CABERNET SAUVIGNON,2014,Cabernet Sauvignon,9,"Carnes vermelhas assadas, queijos duros",61
228,RUTINI GUATALLARY MALBEC,2017,Malbec,7,"Carnes vermelhas grelhadas, queijos intensos",61
229,RUTINI MALBEC,2020,Malbec,6,"Carnes vermelhas assadas, queijos duros",61
230,RUTINI PINOT NOIR,2020,Pinot Noir,4,"Frango, peixes de carne branca",61
231,RUTINI ROSE,2020,Rose,3,"Saladas, frutos do mar",61
232,RUTINI SAUVIGNON BLANC,2022,Sauvignon Blanc,3,"Saladas, frutos do mar",61
233,SAINT FELICIEN BONARDA,2019,Bonarda,5,"Carnes vermelhas grelhadas, queijos intensos",62
234,SAINT FELICIEN CABERNET / MERLOT,2019,Cabernet / Merlot,6,"Carnes vermelhas assadas, queijos macios",62
235,SAINT FELICIEN CABERNET SAUVIGNON,2019,Cabernet Sauvignon,7,"Carnes vermelhas grelhadas, queijos intensos",62
236,SAINT FELICIEN CHARDONNAY,2021,Chardonnay,4,"Frango, peixes de carne branca",62
237,SAINT FELICIEN MALBEC,2020,Malbec,6,"Carnes vermelhas assadas, queijos duros",62
238,SALENTEIN GRAND VU BLEND,2019,Blend,8,"Carnes vermelhas grelhadas, queijos intensos",63
239,SALENTEIN PRIMUS MALBEC,2018,Malbec,9,"Carnes vermelhas assadas, queijos duros",63
240,SALENTEIN ROSE,2021,Rose,3,"Saladas, frutos do mar",63
241,SAN PEDRO YACOCHUIA TINTO,2019,Tinto,6,"Carnes vermelhas assadas, queijos intensos",64
242,SAN PEDRO YACOCHUYA CABER SVG,2019,Cabernet Sauvignon,8,"Carnes vermelhas grelhadas, queijos intensos",64
243,SAN PEDRO YACOCHUYA TANNAT,2019,Tannat,7,"Carnes vermelhas grelhadas, queijos intensos",64
244,SAN PEDRO YACOCHUYA YACOCHUYA,2019,Yacochuya,8,"Carnes vermelhas grelhadas, queijos intensos",64
245,SIN FIN EL INTERMINABLE BLEND MALBEC,2017,Blend Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",65
246,SIN FIN EL INTERMINABLE RED BLEND,2017,Red Blend,7,"Carnes vermelhas grelhadas, queijos intensos",65
247,SIN REGLAS CABERNET SAUVIGNON,2020,Cabernet Sauvignon,7,"Carnes vermelhas grelhadas, queijos intensos",66
248,SIN REGLAS MALBEC (FINCA EL PERAL),2017,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",66
249,SIN REGLAS MIL DEMONIOS MALBEC,2018,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",66
250,SOPHENIA SYNTHESIUS MALBEC,2018,Malbec,7,"Carnes vermelhas grelhadas, queijos intensos",67
251,SOPHENIA SYNTHESIUS THE BLEND,2018,Blend,8,"Carnes vermelhas grelhadas, queijos intensos",67
252,SOTTANO JUDAS BLEND,2019,Blend,8,"Carnes vermelhas grelhadas, queijos intensos",68
253,SOTTANO JUDAS MALBEC,2019,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",68
254,SOTTANO RESERVA DE FAMILIA MALBEC,2018,Malbec,9,"Carnes vermelhas assadas, queijos duros",68
255,SUZANA BALBO BENMARCO SIN LIMITES GUALTALLARY MALBEC,2018,Malbec,9,"Carnes vermelhas assadas, queijos duros",69
256,SUZANA BALBO BENMARCO SIN LIMITES GUATALARY CHARDONAY,2019,Chardonnay,6,"Carnes vermelhas assadas, queijos intensos",69
257,SUZANA BALBO BENMARCO SIN LIMITES VALE PEDERNAL MALBEC,2018,Malbec,9,"Carnes vermelhas assadas, queijos duros",69
258,SUZANA BALBO LA DELFINA MALBEC,2016,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",69
259,SUZANA BALBO NOSOTROS MALBEC,2018,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",69
260,SUZANA BALBO NOSOTROS MALBEC,2019,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",69
261,SUZANA BALBO NOSOTROS SOFITA,2018,Sofita,7,"Carnes vermelhas grelhadas, queijos intensos",69
262,SUZANA BALBO SIGNATURE MALBEC,2020,Malbec,7,"Carnes vermelhas grelhadas, queijos intensos",69
263,SUZANA BALBO SIGNATURE ROSE,2021,Rose,4,"Saladas, frutos do mar",69
